paralog1	paralog2	VK1_para1	VK1_para2	V1-2_para1	V1-2_para2	S1.1_para1	S1.1_para2	S1.2_para1	S1.2_para2	T0.1_para1	T0.1_para2	T0.2_para1	T0.2_para2	T5.1_para1	T5.1_para2	T5.2_para1	T5.2_para2	T11.1_para1	T11.1_para2	T11.2_para1	T11.2_para2	T20.1_para1	T20.1_para2	T20.2_para1	T20.2_para2	T20.3_para1	T20.3_para2
PTETEGNP00009	PTETEGNP36181	0.780967	1.53104	0.754715	1.08983	5.73006	9.59002	7.31975	9.99376	3.53173	5.61989	3.71759	5.88164	2.46401	5.29071	3.59878	4.79397	0.224739	0.610824	0.290825	0.418668	0.30842	0.541538	0.34945	0.389208	0.342543	0.834452
PTETEGNP00011	PTETEGNP36180	3.11897	1.80556	2.61109	1.87414	2.62762	2.18951	2.56283	2.39268	4.18024	3.67337	4.0431	3.95688	2.98009	2.60393	6.13951	4.2576	4.346	2.32299	6.24205	3.25926	4.25253	2.32898	3.35243	2.09584	5.17509	2.7076
PTETEGNP00012	PTETEGNP36179	30.5884	218.258	34.3831	242.271	49.2128	156.221	43.4621	145.341	41.6791	157.228	54.5872	164.58	53.1515	163.404	60.6306	134.626	59.315	149.239	66.702	108.702	65.1647	119.689	71.0347	114.28	91.5934	139.722
PTETEGNP00013	PTETEGNP36178	0.67457	0.846071	0.991253	0.908648	0.964528	1.55013	1.10246	2.06711	1.79257	2.21211	2.23242	2.92653	2.02238	2.68316	2.87663	3.73316	1.88033	1.25964	2.4012	1.88046	1.28555	1.39049	1.77933	1.46749	2.17582	1.97184
PTETEGNP00016	PTETEGNP36176	2.9233	2.39498	2.55866	1.81772	3.93771	2.87811	3.51723	2.71658	4.49241	3.88575	3.02979	3.32814	4.18902	4.80544	4.38101	4.46835	3.24429	3.71197	3.6024	3.12741	5.29644	4.95844	3.93058	4.19933	3.09632	3.21288
PTETEGNP00017	PTETEGNP36175	0.0327531	0.112972	0	0.0968661	0.213209	0.0969888	0.0876628	0.0431966	1.14865	1.94041	1.0205	1.24391	8.25988	3.21146	7.89757	3.1636	18.1632	3.78087	16.2209	4.21064	11.8495	8.73522	7.21867	6.28224	17.7596	5.03494
PTETEGNP00018	PTETEGNP36174	1.86602	4.3637	1.22464	3.60632	2.76263	6.14081	2.50521	5.22881	4.27753	7.30977	3.242	5.90906	4.7087	9.89824	4.1641	6.16072	2.53864	6.2895	2.30648	3.62595	2.99133	5.42899	3.02052	5.08684	2.20754	4.66114
PTETEGNP00019	PTETEGNP36173	2.08432	0.0409692	1.48004	0	4.04942	0.242789	5.10573	0.273125	4.53916	0.229486	3.9676	0.267957	4.82128	0.281139	4.70629	0.28541	4.1912	0.258599	8.68797	0.491691	5.59256	0.140556	4.68873	0.0668094	4.99235	0.0606042
PTETEGNP00021	PTETEGNP36172	1.87776	2.3178	1.79984	1.25741	4.92292	2.84556	3.54412	2.00489	5.95375	4.16785	5.57203	2.08643	3.17406	3.59353	6.97788	2.32356	3.60107	2.61265	6.07002	3.10367	3.24793	4.28739	2.74585	1.67841	4.16911	2.50267
PTETEGNP00024	PTETEGNP36170	1.35985	0.948013	1.94473	1.23957	2.05178	2.78595	1.97072	1.78016	2.92348	2.8843	3.12316	3.00289	3.55374	2.08317	3.32313	2.00519	0.386962	0.6124	0.429523	0.326236	0	0.191008	0.203531	0	0.181915	0.0822049
