paralog1	paralog2	avg_log_V1	avg_log_V2	avg_log_S1	avg_log_S2
PTETEGNP00017	PTETEGNP36175	0.109980610534203	0.186390051879376	0.222230551188178	0.156818721664123
PTETEGNP00167	PTETEGNP36304	0.661525204951283	0.0953101798043249	1.2242666075687	0.46639973514192
PTETEGNP00168	PTETEGNP36305	1.60752716642203	0.185129007464375	2.23182356014085	0.793118034692715
PTETEGNP00237	PTETEGNP36359	1.48369499491757	0.631006199324284	4.22757253319985	4.42068721890888
PTETEGNP00259	PTETEGNP36374	0.491688616039966	0.0953101798043249	0.33330460973807	0.202849373739514
PTETEGNP00281	PTETEGNP36398	0.785975354478963	0.32374439501975	0.855142776481967	0.7137714907384
PTETEGNP00284	PTETEGNP36400	0.41914985124538	1.41478986391304	2.65359113297966	2.6658274122764
PTETEGNP00287	PTETEGNP36403	0.70184933646341	0.413491335513672	1.84053066724791	2.45611063778214
PTETEGNP00290	PTETEGNP36405	5.39196545147964	0.939385792719817	4.11217968628835	1.85430598063274
PTETEGNP00302	PTETEGNP36416	0.480354176851726	0.403054463105878	0.474809065070334	0.789044595219163
PTETEGNP00356	PTETEGNP36473	0.109351569630274	1.37995548144084	0.44138366945814	0.519996438399876
PTETEGNP00381	PTETEGNP36491	0.392558172400191	0.792391027722617	1.61930313119311	1.18146102454992
PTETEGNP00393	PTETEGNP36498	2.70080673880664	0.918395657103044	3.08419155966225	0.303183788354423
PTETEGNP00423	PTETEGNP36529	0.169817726176572	0.441424205751266	0.117636703134154	0.813714730672441
PTETEGNP00428	PTETEGNP36530	3.95600403813672	0.729659320344179	3.76974642739013	2.01652138006933
PTETEGNP00429	PTETEGNP36531	0.410549586231037	0.362901934930209	0.527190853614857	0.902953084320656
PTETEGNP00442	PTETEGNP36544	0.601472823813733	0.517348570191318	0.930393250791314	0.246318074926516
PTETEGNP00447	PTETEGNP36549	0.743539410315094	1.95648126831522	1.57403914787289	2.07100532596157
PTETEGNP00465	PTETEGNP36567	0.23176649486918	0.420681382880877	0.693457161720515	0.285180577598731
PTETEGNP00501	PTETEGNP36595	1.74993253486111	0.63601075347848	2.22311375940124	2.24718831924252
PTETEGNP00540	PTETEGNP36622	0.340671775053042	0.0953101798043249	0.535019354645726	0.5445989957329
PTETEGNP00592	PTETEGNP11547	0.467394877632952	2.63529019778383	1.60548233808497	3.5890337047522
PTETEGNP00927	PTETEGNP14382	1.16519184894013	0.223687425659402	1.93261258052178	1.01742093274425
PTETEGNP00931	PTETEGNP14384	1.53275765804544	1.60623550113572	3.27876375243973	1.6834747140809
PTETEGNP00939	PTETEGNP14388	1.59328703678013	3.16060541026501	0.924625006002152	4.34296718094597
PTETEGNP00951	PTETEGNP14402	0.321545946552211	0.128886763878737	0.266995961142227	0.271806971162699
PTETEGNP00664	PTETEGNP30341	0.244422626162623	0.128571339381277	0.347708758529274	0.457839884099326
PTETEGNP00696	PTETEGNP30378	0.275690758110276	0.472016689689018	0.617166718015431	0.368250232953024
PTETEGNP00697	PTETEGNP30380	2.57161236931347	2.03802753871568	1.91635330133899	0.733391035822869
PTETEGNP00700	PTETEGNP30383	0.208777075304188	0.337673670481268	0.417511410462344	0.312082527302273
PTETEGNP00703	PTETEGNP30385	2.67337386149722	1.91845016320413	2.42166171548493	3.69265327979286
PTETEGNP00732	PTETEGNP30414	0.962091081367643	0.263562382947116	1.39407049761902	1.07157658657582
PTETEGNP00752	PTETEGNP30437	0.711529162748625	1.68618016896668	1.58634978638802	1.8877478118695
PTETEGNP00755	PTETEGNP30439	0.380166308170717	0.959192256417197	0.667766339550721	0.872165335864184
PTETEGNP00769	PTETEGNP30453	1.03972790250156	0.391479927579801	2.3209441706848	2.01919460563761
PTETEGNP00788	PTETEGNP30476	0.79087543240841	1.42709761236084	2.77392990231561	2.13329985695654
PTETEGNP00789	PTETEGNP30478	0.35878696165308	0.605104656977232	1.92268336699978	1.66452766525504
PTETEGNP00810	PTETEGNP30505	0.302564648606345	1.95806672148453	0.897963600697095	2.18079642719086
PTETEGNP00852	PTETEGNP30545	0.649871262174739	0.332720724044472	1.02146721616707	1.01661294853826
PTETEGNP00856	PTETEGNP30547	0.480291205949448	1.24550020676895	1.94216943959891	1.47282830150709
PTETEGNP00883	PTETEGNP30575	1.23856806030333	3.48248939274342	0.0992896409893563	4.13075636454891
PTETEGNP01049	PTETEGNP07707	0.205798556325293	0.316357353669018	0.438923509474439	0.343505095181312
PTETEGNP01097	PTETEGNP07674	0.613347681818012	0.786300243238372	1.46050137773531	1.008461710998
PTETEGNP01104	PTETEGNP07666	1.10759117211424	0.127438056749302	0.721405882731905	0.378452372294472
PTETEGNP01119	PTETEGNP07652	1.11444589046232	0.488740622822965	1.9825763766701	2.87896656389665
PTETEGNP01122	PTETEGNP07646	0.645728910282543	0.939172516827858	2.92094738115816	1.86820424502029
